Id,GenderIDDesc,color
0,FEMALE,LIG. BROWN
1,UNKNOWN,BRO & BLA
2,UNKNOWN,
3,MALE,BLA & BRO
4,FEMALE,BLK-WHT
5,UNKNOWN,
6,FEMALE,BLACK/WHIT
7,MALE,BLK-WHT
8,MALE,BROWN
9,UNKNOWN,BRN-TAN
10,MALE,TRI
11,MALE,BLK
12,MALE,BLK-BRN
13,MALE,BLK-BRN
14,MALE,WHT
15,FEMALE,WHT-BRN
16,UNKNOWN,
17,MALE,BLK
18,MALE,BLK-TAN
19,MALE,WHT
20,UNKNOWN,
21,UNKNOWN,BLK
22,UNKNOWN,BLK
23,MALE,BRN
24,FEMALE,RED
25,UNKNOWN,WHITE
26,MALE,BRN-BLK
27,UNKNOWN,
28,UNKNOWN,
29,MALE,BRN
30,UNKNOWN,
31,FEMALE,BRN
32,UNKNOWN,
33,MALE,BRN-BLK
34,MALE,BLK
35,UNKNOWN,
36,FEMALE,MULT COLOR
37,MALE,TRI
38,UNKNOWN,
39,UNKNOWN,
40,FEMALE,GRAY
41,MALE,TAN-BRN
42,MALE,BLK-BRN
43,UNKNOWN,BLACK
44,MALE,BRN-WHT
45,UNKNOWN,BLACK
46,UNKNOWN,BLACK
47,FEMALE,WHT-BRN
48,FEMALE,WHITE
49,MALE,BLK-WHT
50,FEMALE,BLK-WHT
51,MALE,WHT-GRAY
52,MALE,WHITE
53,MALE,BRN
54,FEMALE,WHT
55,MALE,BLK-BRN
56,UNKNOWN,
57,FEMALE,
58,UNKNOWN,BLK
59,FEMALE,BRN-WHT
60,UNKNOWN,BLK-WHT
61,FEMALE,BLK
62,MALE,TAN
63,MALE,BLK-TAN
64,FEMALE,BRN
65,UNKNOWN,BLUE
66,FEMALE,TAN
67,MALE,BLK
68,MALE,COPPER-WHT
69,MALE,BLK-WHT
70,FEMALE,WHT-BUFF
71,UNKNOWN,BLK-WHT
72,UNKNOWN,
73,UNKNOWN,BLK
74,UNKNOWN,WHT
75,MALE,BRN
76,MALE,BLK-WHT
77,FEMALE,BRINDLE
78,MALE,BRN-WHT
79,MALE,TRI
80,MALE,BLK
81,UNKNOWN,BLK-WHT
82,UNKNOWN,TAN
83,MALE,YELLOW
84,MALE,BLACK/BROW
85,FEMALE,BLK-WHT
86,MALE,TRI
87,MALE,BLUE
88,MALE,BROWN
89,MALE,BLK
90,MALE,BLK
91,FEMALE,BRN
92,MALE,BLK-WHT
93,UNKNOWN,YELLOW
94,MALE,RED
95,FEMALE,GRAY-TORTI
96,FEMALE,FAWN-WHT
97,FEMALE,BRN-WHT
98,MALE,BROWN-BLK
99,MALE,BLACK
100,UNKNOWN,
101,UNKNOWN,
102,UNKNOWN,YELLOW
103,FEMALE,BRN-BLACK
104,FEMALE,TAN
105,FEMALE,BLK-TAN
106,MALE,BLK-WHT
107,FEMALE,TAN
108,UNKNOWN,
109,FEMALE,BLK
110,MALE,RED-WHT
111,MALE,BLK-TAN
112,MALE,TAN-BRN
113,MALE,B.MERLE-GR
114,MALE,BLK-WHT
115,MALE,BROWN
116,MALE,GRAY-WHT
117,MALE,TAN-WHT
118,MALE,BLONDE
119,UNKNOWN,GRAY-WHITE
120,MALE,BROWN-BLK
121,UNKNOWN,
122,UNKNOWN,BRN-WHT
123,MALE,WHT
124,MALE,BROWN
125,UNKNOWN,
126,MALE,BLK-BRN
127,FEMALE,WHT-BRN
128,MALE,TRI
129,UNKNOWN,BLK-WHT
130,UNKNOWN,GREY
131,UNKNOWN,
132,MALE,GRAY
133,FEMALE,BLK
134,MALE,BLK-WHT
135,FEMALE,BLK-WHT
136,FEMALE,SILVER
137,UNKNOWN,
138,UNKNOWN,
139,MALE,BRN-WHT
140,UNKNOWN,GREY
141,MALE,BLK
142,UNKNOWN,GREY
143,UNKNOWN,BRN
144,UNKNOWN,BLK
145,UNKNOWN,BRN
146,FEMALE,BLK
147,FEMALE,GRAY
148,UNKNOWN,
149,MALE,ORANGE
150,MALE,TRI
151,MALE,BLACK-TAN
152,MALE,WHT
153,FEMALE,WHT-BLK
154,UNKNOWN,BRINDLE-WH
155,UNKNOWN,RED-WHT
156,FEMALE,WHT-BLK
157,FEMALE,WHT-TAN
158,FEMALE,BLK-TAN
159,UNKNOWN,BRN-WHT
160,UNKNOWN,
161,FEMALE,BRN-WHT
162,UNKNOWN,TAN-WHT
163,UNKNOWN,
164,UNKNOWN,
165,MALE,LT. BR
166,FEMALE,BLK
167,FEMALE,TRI
168,MALE,BRN
169,MALE,WHT-BLK
170,UNKNOWN,
171,FEMALE,BLACK
172,MALE,RED
173,MALE,BLK-BRN
174,MALE,BLK-WHT
175,UNKNOWN,GRAY
176,UNKNOWN,BLONDE
177,FEMALE,GRAY
178,UNKNOWN,
179,UNKNOWN,
180,UNKNOWN,
181,UNKNOWN,
182,FEMALE,BLK-WHT
183,UNKNOWN,
184,MALE,GRAY-WHT
185,UNKNOWN,ORANGE
186,FEMALE,BR. BRINDL
187,MALE,WHT
188,MALE,TAN
189,MALE,BRN
190,UNKNOWN,BRN-WHT
191,UNKNOWN,BRN
192,UNKNOWN,BLK-TAN
193,FEMALE,YELLOW
194,UNKNOWN,
195,FEMALE,BLK
196,MALE,BLK-BRN
197,UNKNOWN,BLK-WHT
198,MALE,BRN-WHT
199,MALE,CREAM
200,MALE,BLK-WHT
201,UNKNOWN,WHT
202,MALE,BLK
