Id,SpeciesIDDesc
0,DOG
1,DOG
2,DOG
3,DOG
4,DOG
5,DOG
6,DOG
7,DOG
8,DOG
9,DOG
10,DOG
11,DOG
12,DOG
13,DOG
14,DOG
15,DOG
16,DOG
17,DOG
18,DOG
19,DOG
20,CAT
21,DOG
22,DOG
23,DOG
24,DOG
25,DOG
26,DOG
27,DOG
28,CAT
29,DOG
30,DOG
31,DOG
32,DOG
33,DOG
34,DOG
35,DOG
36,DOG
37,DOG
38,DOG
39,DOG
40,CAT
41,DOG
42,DOG
43,DOG
44,DOG
45,DOG
46,DOG
47,DOG
48,DOG
49,DOG
50,DOG
51,DOG
52,CAT
53,DOG
54,DOG
55,DOG
56,DOG
57,CAT
58,DOG
59,DOG
60,CAT
61,DOG
62,DOG
63,DOG
64,DOG
65,DOG
66,DOG
67,DOG
68,DOG
69,DOG
70,DOG
71,DOG
72,CAT
73,CAT
74,DOG
75,DOG
76,DOG
77,DOG
78,DOG
79,DOG
80,DOG
81,CAT
82,DOG
83,DOG
84,DOG
85,CAT
86,DOG
87,DOG
88,CAT
89,DOG
90,DOG
91,DOG
92,CAT
93,DOG
94,DOG
95,CAT
96,DOG
97,DOG
98,DOG
99,DOG
100,CAT
101,DOG
102,DOG
103,DOG
104,DOG
105,DOG
106,DOG
107,DOG
108,DOG
109,CAT
110,DOG
111,DOG
112,CAT
113,DOG
114,DOG
115,DOG
116,CAT
117,DOG
118,DOG
119,CAT
120,DOG
121,DOG
122,DOG
123,DOG
124,DOG
125,DOG
126,DOG
127,DOG
128,DOG
129,CAT
130,CAT
131,DOG
132,DOG
133,DOG
134,DOG
135,CAT
136,DOG
137,DOG
138,DOG
139,DOG
140,CAT
141,DOG
142,CAT
143,DOG
144,DOG
145,DOG
146,CAT
147,DOG
148,DOG
149,CAT
150,DOG
151,DOG
152,DOG
153,CAT
154,DOG
155,DOG
156,CAT
157,DOG
158,DOG
159,CAT
160,DOG
161,DOG
162,DOG
163,DOG
164,DOG
165,CAT
166,DOG
167,DOG
168,DOG
169,DOG
170,DOG
171,DOG
172,DOG
173,DOG
174,DOG
175,CAT
176,DOG
177,CAT
178,DOG
179,CAT
180,BAT
181,DOG
182,DOG
183,CAT
184,CAT
185,CAT
186,DOG
187,DOG
188,DOG
189,DOG
190,DOG
191,DOG
192,DOG
193,DOG
194,DOG
195,DOG
196,DOG
197,DOG
198,DOG
199,DOG
200,DOG
201,DOG
202,DOG
203,DOG
204,DOG
205,DOG
206,DOG
207,DOG
208,DOG
209,DOG
210,DOG
211,DOG
212,CAT
213,CAT
214,DOG
215,DOG
216,DOG
217,DOG
218,CAT
219,DOG
220,DOG
221,DOG
222,DOG
223,DOG
224,DOG
225,DOG
226,DOG
227,DOG
228,DOG
229,DOG
230,DOG
231,CAT
232,CAT
233,DOG
234,DOG
235,CAT
236,DOG
237,DOG
238,DOG
239,DOG
240,DOG
241,CAT
242,DOG
243,DOG
244,DOG
245,CAT
246,CAT
247,DOG
248,DOG
249,DOG
250,CAT
251,DOG
252,DOG
253,DOG
254,DOG
255,RACCOON
256,DOG
257,DOG
258,DOG
259,DOG
260,DOG
261,DOG
262,DOG
263,DOG
264,DOG
265,DOG
266,DOG
267,DOG
268,DOG
269,DOG
270,DOG
271,DOG
272,CAT
273,DOG
274,CAT
275,CAT
276,DOG
277,DOG
278,DOG
279,RACCOON
280,DOG
281,DOG
282,CAT
283,DOG
284,DOG
285,DOG
286,DOG
287,CAT
288,DOG
289,DOG
290,CAT
291,DOG
292,DOG
293,DOG
294,DOG
295,DOG
296,DOG
297,DOG
298,DOG
299,DOG
300,DOG
301,DOG
302,DOG
303,DOG
304,DOG
305,DOG
306,DOG
307,DOG
308,DOG
309,DOG
310,DOG
311,DOG
312,DOG
313,DOG
314,CAT
315,DOG
316,DOG
317,CAT
318,DOG
319,DOG
320,DOG
321,DOG
322,DOG
323,DOG
324,DOG
325,DOG
326,CAT
327,CAT
328,DOG
329,DOG
330,DOG
331,DOG
332,DOG
333,DOG
334,DOG
335,DOG
336,DOG
337,DOG
338,DOG
339,DOG
340,CAT
341,DOG
342,DOG
343,DOG
344,DOG
345,DOG
346,DOG
347,DOG
348,DOG
349,DOG
350,CAT
351,DOG
352,CAT
353,DOG
354,DOG
355,DOG
356,DOG
357,DOG
358,DOG
359,DOG
360,DOG
361,DOG
362,CAT
363,DOG
364,DOG
365,DOG
366,DOG
367,DOG
368,DOG
369,DOG
370,DOG
371,DOG
372,DOG
373,DOG
374,DOG
375,DOG
376,DOG
377,DOG
378,DOG
379,DOG
380,DOG
381,DOG
382,DOG
383,DOG
384,DOG
385,DOG
386,DOG
387,DOG
388,DOG
389,DOG
390,DOG
391,DOG
392,DOG
393,DOG
394,CAT
395,DOG
396,DOG
397,DOG
398,DOG
399,CAT
400,DOG
401,DOG
402,DOG
403,CAT
404,DOG
405,DOG
406,DOG
407,DOG
408,DOG
409,DOG
410,DOG
411,DOG
412,DOG
413,DOG
414,DOG
415,CAT
416,DOG
417,CAT
418,CAT
419,DOG
420,CAT
421,DOG
422,DOG
423,DOG
424,CAT
425,DOG
426,DOG
427,DOG
428,DOG
429,CAT
430,DOG
431,DOG
432,DOG
433,DOG
434,DOG
435,CAT
436,DOG
437,DOG
438,CAT
439,DOG
440,DOG
441,CAT
442,DOG
443,CAT
444,DOG
445,DOG
446,DOG
447,CAT
448,DOG
449,DOG
450,DOG
451,DOG
452,DOG
453,DOG
454,DOG
455,CAT
456,BAT
457,DOG
458,CAT
459,DOG
460,DOG
461,DOG
462,DOG
463,DOG
464,DOG
465,DOG
466,DOG
467,CAT
468,DOG
469,DOG
470,DOG
471,DOG
472,DOG
473,DOG
474,DOG
475,DOG
476,DOG
477,DOG
478,DOG
479,DOG
480,DOG
481,DOG
482,CAT
483,DOG
484,DOG
485,DOG
486,CAT
487,BAT
488,DOG
489,DOG
490,CAT
491,DOG
492,DOG
493,DOG
494,DOG
495,DOG
496,CAT
497,DOG
498,DOG
499,DOG
500,DOG
501,CAT
502,DOG
503,DOG
504,DOG
505,CAT
506,DOG
507,DOG
508,DOG
509,DOG
510,DOG
511,DOG
512,DOG
513,CAT
514,DOG
515,DOG
516,DOG
517,CAT
518,CAT
519,CAT
520,DOG
521,DOG
522,CAT
523,CAT
524,CAT
525,DOG
526,DOG
527,DOG
528,DOG
529,DOG
530,DOG
531,DOG
532,DOG
533,DOG
534,DOG
535,DOG
536,DOG
537,DOG
538,DOG
539,DOG
540,DOG
541,DOG
542,DOG
543,DOG
544,CAT
545,DOG
546,DOG
547,DOG
548,DOG
549,CAT
550,DOG
551,CAT
552,DOG
553,DOG
554,CAT
555,CAT
556,DOG
557,DOG
558,CAT
559,DOG
560,CAT
561,DOG
562,DOG
563,DOG
564,DOG
565,DOG
566,CAT
567,DOG
568,DOG
569,CAT
570,DOG
571,DOG
572,DOG
573,CAT
574,DOG
575,DOG
576,CAT
577,DOG
578,DOG
579,CAT
580,DOG
581,CAT
582,DOG
583,DOG
584,DOG
585,DOG
586,DOG
587,DOG
588,DOG
589,CAT
590,DOG
591,DOG
592,DOG
593,CAT
594,BAT
595,CAT
596,DOG
597,DOG
598,DOG
599,DOG
600,DOG
601,CAT
602,DOG
603,DOG
604,DOG
605,CAT
606,DOG
607,DOG
608,DOG
609,CAT
610,DOG
611,CAT
612,CAT
613,DOG
614,DOG
615,CAT
616,CAT
617,CAT
618,CAT
619,DOG
620,DOG
621,DOG
622,DOG
623,DOG
624,DOG
625,DOG
626,CAT
627,DOG
628,DOG
629,DOG
630,CAT
631,DOG
632,DOG
633,DOG
634,DOG
635,CAT
636,CAT
637,DOG
638,CAT
639,DOG
640,DOG
641,CAT
642,DOG
643,CAT
644,CAT
645,DOG
646,CAT
647,DOG
648,CAT
649,CAT
650,CAT
651,DOG
652,DOG
653,DOG
654,CAT
655,DOG
656,DOG
657,DOG
658,CAT
659,CAT
660,CAT
661,DOG
662,DOG
663,DOG
664,DOG
665,DOG
666,DOG
667,DOG
668,DOG
669,CAT
670,DOG
671,DOG
672,CAT
673,DOG
674,DOG
675,DOG
676,DOG
677,DOG
678,DOG
679,DOG
680,DOG
681,DOG
682,CAT
683,DOG
684,DOG
685,DOG
686,DOG
687,DOG
688,CAT
689,DOG
690,DOG
691,CAT
692,DOG
693,DOG
694,DOG
695,DOG
696,CAT
697,DOG
698,DOG
699,DOG
700,DOG
701,CAT
702,DOG
703,DOG
704,DOG
705,DOG
706,DOG
707,DOG
708,DOG
709,DOG
710,DOG
711,DOG
712,CAT
713,DOG
714,DOG
715,CAT
716,DOG
717,DOG
718,DOG
719,DOG
720,DOG
721,CAT
722,CAT
723,CAT
724,DOG
725,DOG
726,DOG
727,DOG
728,CAT
729,DOG
730,CAT
731,DOG
732,DOG
733,DOG
734,DOG
735,DOG
736,DOG
737,BAT
738,BAT
739,DOG
740,DOG
741,DOG
742,DOG
743,CAT
744,DOG
745,OTHER
746,DOG
747,CAT
748,DOG
749,DOG
750,DOG
751,DOG
752,DOG
753,DOG
754,DOG
755,DOG
756,DOG
757,DOG
758,DOG
759,DOG
760,DOG
761,DOG
762,DOG
763,DOG
764,CAT
765,CAT
766,CAT
767,DOG
768,DOG
769,DOG
770,DOG
771,DOG
772,DOG
773,DOG
774,BAT
775,DOG
776,DOG
777,DOG
778,DOG
779,DOG
780,DOG
781,DOG
782,DOG
783,DOG
784,CAT
785,DOG
786,DOG
787,DOG
788,DOG
789,DOG
790,CAT
791,CAT
792,DOG
793,DOG
794,DOG
795,BAT
796,DOG
797,DOG
798,DOG
799,DOG
800,DOG
801,CAT
802,DOG
803,DOG
804,DOG
805,CAT
806,DOG
807,DOG
808,CAT
809,DOG
810,CAT
811,DOG
812,DOG
813,DOG
814,DOG
815,DOG
816,DOG
817,DOG
818,DOG
819,DOG
820,DOG
821,DOG
822,DOG
823,CAT
824,CAT
825,DOG
826,DOG
827,DOG
828,DOG
829,DOG
830,DOG
831,DOG
832,CAT
833,DOG
834,DOG
835,CAT
836,DOG
837,DOG
838,CAT
839,CAT
840,DOG
841,DOG
842,DOG
843,DOG
844,DOG
845,DOG
846,DOG
847,CAT
848,DOG
849,DOG
850,OTHER
851,DOG
852,CAT
853,CAT
854,CAT
855,DOG
856,DOG
857,DOG
858,DOG
859,DOG
860,DOG
861,DOG
862,CAT
863,DOG
864,DOG
865,DOG
866,CAT
867,CAT
868,DOG
869,DOG
870,DOG
871,CAT
872,DOG
873,DOG
874,DOG
875,DOG
876,DOG
877,DOG
878,CAT
879,CAT
880,DOG
881,DOG
882,DOG
883,DOG
884,DOG
885,DOG
886,DOG
887,DOG
888,DOG
889,DOG
890,DOG
891,CAT
892,DOG
893,CAT
894,DOG
895,DOG
896,DOG
897,BAT
898,CAT
899,DOG
900,DOG
901,DOG
902,DOG
903,DOG
904,CAT
905,DOG
906,DOG
907,DOG
908,DOG
909,CAT
910,DOG
911,DOG
912,DOG
913,DOG
914,DOG
915,CAT
916,DOG
917,OTHER
918,DOG
919,DOG
920,DOG
921,DOG
922,DOG
923,DOG
924,DOG
925,DOG
926,DOG
927,DOG
928,DOG
929,CAT
930,DOG
931,DOG
932,DOG
933,DOG
934,DOG
935,DOG
936,DOG
937,CAT
938,DOG
939,DOG
940,DOG
941,DOG
942,CAT
943,DOG
944,DOG
945,DOG
946,DOG
947,DOG
948,DOG
949,CAT
950,DOG
951,DOG
952,DOG
953,DOG
954,DOG
955,DOG
956,DOG
957,DOG
958,CAT
959,CAT
960,DOG
961,DOG
962,DOG
963,DOG
964,DOG
965,DOG
966,DOG
967,DOG
968,CAT
969,DOG
970,DOG
971,DOG
972,CAT
973,DOG
974,CAT
975,DOG
976,DOG
977,DOG
978,DOG
979,DOG
980,DOG
981,CAT
982,DOG
983,DOG
984,DOG
985,DOG
986,DOG
987,DOG
988,DOG
989,CAT
990,DOG
991,DOG
992,DOG
993,DOG
994,CAT
995,DOG
996,DOG
997,CAT
998,DOG
999,DOG
1000,CAT
1001,DOG
1002,CAT
1003,DOG
1004,DOG
1005,DOG
1006,DOG
1007,DOG
1008,DOG
1009,CAT
1010,DOG
1011,DOG
1012,CAT
1013,DOG
1014,CAT
1015,CAT
1016,DOG
1017,CAT
1018,DOG
1019,CAT
1020,DOG
1021,CAT
1022,DOG
1023,DOG
1024,DOG
1025,DOG
1026,DOG
1027,CAT
1028,DOG
1029,DOG
1030,CAT
1031,DOG
1032,DOG
1033,DOG
1034,DOG
1035,CAT
1036,CAT
1037,DOG
1038,DOG
1039,DOG
1040,DOG
1041,DOG
1042,DOG
1043,CAT
1044,DOG
1045,DOG
1046,DOG
1047,DOG
1048,DOG
1049,DOG
1050,DOG
1051,DOG
1052,DOG
1053,DOG
1054,DOG
1055,DOG
1056,DOG
1057,DOG
1058,CAT
1059,DOG
1060,DOG
1061,DOG
1062,DOG
1063,DOG
1064,DOG
1065,CAT
1066,DOG
1067,DOG
1068,DOG
1069,DOG
1070,DOG
1071,DOG
1072,DOG
1073,DOG
1074,DOG
1075,CAT
1076,DOG
1077,DOG
1078,DOG
1079,CAT
1080,DOG
1081,DOG
1082,DOG
1083,DOG
1084,DOG
1085,DOG
1086,CAT
1087,DOG
1088,DOG
1089,DOG
1090,DOG
1091,CAT
1092,DOG
1093,DOG
1094,DOG
1095,DOG
1096,CAT
1097,DOG
1098,DOG
1099,DOG
1100,DOG
1101,DOG
