broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2019,Education,Shanghai,No Funding,8622,ran out of cash,337
2015,Tool,Zhejiang,No Funding,6204,no business model,540
2015,Tool,Shanghai,No Funding,5687,no business model,537
2018,Social Media,Shanghai,No Funding,5362,lose focus,898
2013,Tool,Shanghai,Public,4954,no business model,546
2017,Marketing,Beijing,No Funding,4931,no business model,702
2017,Entertainment,Beijing,No Funding,4931,no business model,756
2017,Travel,Shanghai,Acquired,4755,no investor interest,1185
2017,Education,Beijing,Series B,4754,pivot gone bad,382
2018,Finance,Beijing,No Funding,4567,supervision,61
