industry,broken_year,location,funded_status,survival_time,cause_of_failure,dataid
Education,2019,Shanghai,No Funding,8622,ran out of cash,337
Tool,2015,Zhejiang,No Funding,6204,no business model,540
Tool,2015,Shanghai,No Funding,5687,no business model,537
Social Media,2018,Shanghai,No Funding,5362,lose focus,898
Tool,2013,Shanghai,Public,4954,no business model,546
Marketing,2017,Beijing,No Funding,4931,no business model,702
Entertainment,2017,Beijing,No Funding,4931,no business model,756
Travel,2017,Shanghai,Acquired,4755,no investor interest,1185
Education,2017,Beijing,Series B,4754,pivot gone bad,382
Finance,2018,Beijing,No Funding,4567,supervision,61
