industry,broken_year,location,funded_status,survival_time,cause_of_failure,dataid
Finance,2019,Shanghai,Series B,1730,supervision,1
Finance,2019,Shanghai,Series A,1726,supervision,2
Finance,2019,Shanghai,No Funding,2644,supervision,3
Finance,2019,Shanghai,Series A,2034,supervision,4
Finance,2019,Shanghai,Strategic,1577,supervision,5
Finance,2019,Shanghai,No Funding,1247,no business model,6
Finance,2019,Shanghai,No Funding,1247,no business model,7
Finance,2019,Shanghai,Angel Round,1612,supervision,8
Finance,2019,Shanghai,No Funding,1492,no business model,9
Finance,2019,Shanghai,Series B,1645,legal challenges,10
Finance,2018,Shanghai,No Funding,1644,supervision,11
Finance,2018,Shanghai,Angel Round,1825,ran out of cash,12
Finance,2018,Shanghai,Strategic,1351,supervision,13
Finance,2018,Shanghai,Series B,1781,supervision,14
Finance,2018,Shanghai,Strategic,1781,supervision,15
Finance,2018,Shanghai,Series A,1478,supervision,16
Finance,2018,Shanghai,Strategic,1382,legal challenges,17
Finance,2018,Shanghai,Pre-A Round,1319,supervision,18
Finance,2018,Shanghai,Series A,1897,supervision,19
Finance,2018,Shanghai,Angel Round,1497,no market need,20
Finance,2018,Shanghai,Series A+,1374,supervision,21
Finance,2018,Shanghai,Angel Round,1096,supervision,22
Finance,2017,Shanghai,Series B,1521,supervision,23
Finance,2017,Shanghai,No Funding,1010,no business model,24
Finance,2017,Shanghai,Angel Round,631,founder,25
Finance,2017,Shanghai,Series B,787,supervision,26
Finance,2017,Shanghai,Series A,370,supervision,27
Finance,2016,Shanghai,No Funding,2191,pivot gone bad,28
Finance,2016,Shanghai,No Funding,1005,supervision,29
Finance,2016,Shanghai,No Funding,3829,no business model,30
Finance,2016,Shanghai,Series A,431,no business model,31
Finance,2015,Shanghai,Angel Round,2374,supervision,32
Finance,2015,Shanghai,No Funding,878,no business model,33
Finance,2015,Shanghai,No Funding,1547,no business model,34
Finance,2015,Shanghai,Angel Round,1148,no business model,35
Health,2019,Shanghai,Series B+,2133,no business model,36
Health,2018,Shanghai,Angel Round,1825,no business model,37
Health,2018,Shanghai,Angel Round,1316,no business model,38
Health,2017,Shanghai,Angel Round,1917,lose focus,39
Health,2017,Shanghai,No Funding,740,no business model,40
Health,2017,Shanghai,Angel Round,1101,poor marketing,41
Health,2016,Shanghai,Series A,857,no market need,42
Health,2016,Shanghai,No Funding,182,no business model,43
Health,2015,Shanghai,No Funding,1188,no business model,44
E-Commerce,2019,Shanghai,No Funding,1065,no business model,45
E-Commerce,2019,Shanghai,Angel Round,1612,no investor interest,46
E-Commerce,2019,Shanghai,Acquired,3499,pivot gone bad,47
E-Commerce,2019,Shanghai,Series A,883,no business model,48
E-Commerce,2018,Shanghai,No Funding,1521,no business model,49
E-Commerce,2017,Shanghai,Acquired,1978,pricing/cost issue,50
E-Commerce,2017,Shanghai,Angel Round,1825,no market need,51
E-Commerce,2017,Shanghai,No Funding,1947,no business model,52
E-Commerce,2017,Shanghai,Angel Round,1735,no business model,53
E-Commerce,2017,Shanghai,No Funding,1340,no business model,54
E-Commerce,2017,Shanghai,Series A,1856,no market need,55
E-Commerce,2017,Shanghai,No Funding,2405,get outcompeted,56
E-Commerce,2017,Shanghai,Series A,1674,no market need,57
E-Commerce,2017,Shanghai,Pre-A Round,1081,burn out,58
E-Commerce,2017,Shanghai,Angel Round,613,no business model,59
E-Commerce,2017,Shanghai,No Funding,847,no business model,60
E-Commerce,2017,Shanghai,Series A,914,no market need,61
E-Commerce,2017,Shanghai,Angel Round,1101,no business model,62
E-Commerce,2017,Shanghai,Seed Round,275,no market need,63
E-Commerce,2016,Shanghai,Series A,2160,pricing/cost issue,64
E-Commerce,2016,Shanghai,No Funding,682,no market need,65
E-Commerce,2016,Shanghai,Angel Round,740,no market need,66
E-Commerce,2016,Shanghai,No Funding,949,no business model,67
E-Commerce,2015,Shanghai,Series B,2374,pricing/cost issue,68
E-Commerce,2015,Shanghai,Series B,2100,pricing/cost issue,69
E-Commerce,2015,Shanghai,Series A,2070,ignore customers,70
E-Commerce,2015,Shanghai,No Funding,2100,get outcompeted,71
E-Commerce,2015,Shanghai,Series A,1978,pricing/cost issue,72
E-Commerce,2014,Shanghai,Series B,2221,get outcompeted,73
E-Commerce,2014,Shanghai,No Funding,2251,no business model,74
E-Commerce,2013,Shanghai,No Funding,514,no business model,75
E-Commerce,2013,Shanghai,No Funding,1059,no business model,76
Education,2019,Shanghai,No Funding,8622,ran out of cash,77
Education,2019,Shanghai,Pre-A Round,2052,no market need,78
Education,2019,Shanghai,Series B+,2336,product mistimed,79
Education,2018,Shanghai,Series C,1491,ran out of cash,80
Education,2018,Shanghai,Series A,1516,ran out of cash,81
Education,2018,Shanghai,Series A,1135,burn out,82
Education,2017,Shanghai,Angel Round,1856,no business model,83
Education,2017,Shanghai,No Funding,1674,no business model,84
Education,2017,Shanghai,Series A,1552,no market need,85
Education,2017,Shanghai,No Funding,1613,product mistimed,86
Education,2017,Shanghai,Angel Round,1058,lose focus,87
Education,2016,Shanghai,Angel Round,643,product mistimed,88
Education,2015,Shanghai,Angel Round,2465,poor product,89
Education,2014,Shanghai,Angel Round,947,product mistimed,90
Education,2011,Shanghai,Series B,1312,ran out of cash,91
Transportation,2019,Shanghai,Angel Round,1553,get outcompeted,92
Transportation,2019,Shanghai,Angel Round,1247,get outcompeted,93
Transportation,2019,Shanghai,Angel Round,1553,no business model,94
Transportation,2018,Shanghai,Angel Round,1582,burn out,95
Transportation,2017,Shanghai,Series B,1552,pricing/cost issue,96
Transportation,2017,Shanghai,Angel Round,1705,no market need,97
Transportation,2017,Shanghai,No Funding,2222,no business model,98
Transportation,2017,Shanghai,Acquired,1825,failure to pivot,99
Transportation,2017,Shanghai,Angel Round,858,burn out,100
Transportation,2017,Shanghai,Angel Round,1037,no market need,101
Transportation,2016,Shanghai,Series A,740,no market need,102
Transportation,2016,Shanghai,No Funding,734,product mistimed,103
Transportation,2015,Shanghai,No Funding,1947,no business model,104
Transportation,2014,Shanghai,No Funding,749,get outcompeted,105
Transportation,2012,Shanghai,Angel Round,2283,no business model,106
Tool,2018,Shanghai,Angel Round,1674,no market need,107
Tool,2018,Shanghai,Angel Round,1521,legal challenges,108
Tool,2017,Shanghai,No Funding,1582,no market need,109
Tool,2017,Shanghai,No Funding,1241,no business model,110
Tool,2016,Shanghai,Angel Round,2040,no market need,111
Tool,2016,Shanghai,No Funding,2191,no investor interest,112
Tool,2016,Shanghai,Angel Round,1948,pivot gone bad,113
Tool,2016,Shanghai,Angel Round,740,no market need,114
Tool,2015,Shanghai,No Funding,2190,get outcompeted,115
Tool,2015,Shanghai,No Funding,5687,no business model,116
Tool,2015,Shanghai,Angel Round,878,no market need,117
Tool,2013,Shanghai,Public,4954,no business model,118
Local Business,2019,Shanghai,Series A,1522,no market need,119
Local Business,2019,Shanghai,Angel Round,1581,no market need,120
Local Business,2018,Shanghai,Angel Round,1674,no market need,121
Local Business,2018,Shanghai,Angel Round,1521,product mistimed,122
Local Business,2018,Shanghai,Series C,1491,no market need,123
Local Business,2017,Shanghai,No Funding,1825,lose focus,124
Local Business,2017,Shanghai,Pre-A Round,1582,pricing/cost issue,125
Local Business,2017,Shanghai,Angel Round,1582,poor marketing,126
Local Business,2017,Shanghai,Angel Round,740,no business model,127
Local Business,2016,Shanghai,No Funding,2132,no business model,128
Local Business,2016,Shanghai,Angel Round,2040,no market need,129
Local Business,2016,Shanghai,Series A,720,burn out,130
Local Business,2016,Shanghai,Series A,1832,founder,131
Local Business,2016,Shanghai,No Funding,1126,no business model,132
Local Business,2016,Shanghai,Series A,1800,no business model,133
Local Business,2016,Shanghai,Series A,1100,get outcompeted,134
Local Business,2015,Shanghai,Angel Round,1856,no market need,135
Local Business,2015,Shanghai,Angel Round,2496,get outcompeted,136
Local Business,2015,Shanghai,No Funding,785,product mistimed,137
Local Business,2015,Shanghai,Series D,3722,no business model,138
Local Business,2014,Shanghai,Angel Round,947,failure to pivot,139
Local Business,2013,Shanghai,Series A,2525,no investor interest,140
Real Estate,2019,Shanghai,Series A,1461,burn out,141
Real Estate,2019,Shanghai,Series E,1705,burn out,142
Real Estate,2018,Shanghai,Angel Round,1491,product mistimed,143
Real Estate,2018,Shanghai,Series B,1766,ran out of cash,144
Real Estate,2018,Shanghai,Angel Round,1943,burn out,145
Real Estate,2017,Shanghai,Angel Round,1917,no market need,146
Real Estate,2017,Shanghai,No Funding,1552,no business model,147
Real Estate,2017,Shanghai,Angel Round,996,product mistimed,148
Real Estate,2017,Shanghai,Series A,1132,poor product,149
Real Estate,2017,Shanghai,Seed Round,736,product mistimed,150
Marketing,2019,Shanghai,No Funding,1888,pivot gone bad,151
Marketing,2017,Shanghai,Angel Round,1644,no market need,152
Marketing,2016,Shanghai,No Funding,1887,no market need,153
Marketing,2016,Shanghai,Angel Round,2101,no business model,154
Marketing,2013,Shanghai,No Funding,1303,no business model,155
Entertainment,2019,Shanghai,No Funding,3768,ran out of cash,156
Entertainment,2019,Shanghai,Series B,1368,burn out,157
Entertainment,2019,Shanghai,Angel Round,1943,no business model,158
Entertainment,2018,Shanghai,Pre-A Round,1825,ran out of cash,159
Entertainment,2018,Shanghai,Series A,1121,burn out,160
Entertainment,2017,Shanghai,No Funding,2252,no business model,161
Entertainment,2017,Shanghai,Angel Round,1705,pivot gone bad,162
Entertainment,2017,Shanghai,Series A,1978,no market need,163
Entertainment,2017,Shanghai,Angel Round,1582,product mistimed,164
Entertainment,2017,Shanghai,No Funding,1007,no market need,165
Entertainment,2017,Shanghai,Series A,1466,no business model,166
Entertainment,2017,Shanghai,Series B,1831,no investor interest,167
Entertainment,2016,Shanghai,No Funding,943,pivot gone bad,168
Entertainment,2015,Shanghai,Series A,1886,no investor interest,169
Game,2019,Shanghai,No Funding,589,no business model,170
Game,2019,Shanghai,Angel Round,608,no business model,171
Game,2018,Shanghai,Angel Round,1674,ran out of cash,172
Game,2018,Shanghai,Angel Round,1491,ran out of cash,173
Game,2017,Shanghai,Angel Round,1947,burn out,174
Game,2017,Shanghai,Series A,2678,no market need,175
Game,2017,Shanghai,Angel Round,906,no business model,176
Game,2017,Shanghai,Angel Round,1134,burn out,177
Game,2016,Shanghai,Angel Round,2132,no investor interest,178
Game,2016,Shanghai,No Funding,2010,lose focus,179
Game,2016,Shanghai,No Funding,1130,get outcompeted,180
Game,2015,Shanghai,Series A,2100,get outcompeted,181
Game,2015,Shanghai,No Funding,694,no business model,182
Game,2015,Shanghai,No Funding,694,no business model,183
Game,2014,Shanghai,No Funding,1249,no business model,184
Game,2010,Shanghai,Series B,907,no market need,185
Social Media,2019,Shanghai,No Funding,1247,no market need,186
Social Media,2018,Shanghai,No Funding,1491,no market need,187
Social Media,2018,Shanghai,Angel Round,1794,no business model,188
Social Media,2018,Shanghai,Series B,1644,no market need,189
Social Media,2018,Shanghai,No Funding,5362,lose focus,190
Social Media,2017,Shanghai,No Funding,1917,no market need,191
Social Media,2017,Shanghai,No Funding,2770,no business model,192
Social Media,2017,Shanghai,No Funding,2039,no market need,193
Social Media,2017,Shanghai,Angel Round,1825,no market need,194
Social Media,2017,Shanghai,No Funding,1947,no business model,195
Social Media,2017,Shanghai,Angel Round,1105,no market need,196
Social Media,2016,Shanghai,Series A,2040,no market need,197
Social Media,2016,Shanghai,Series A,1832,no market need,198
Social Media,2016,Shanghai,Angel Round,1180,no business model,199
Social Media,2016,Shanghai,Series A,1466,no market need,200
Social Media,2015,Shanghai,Series B,2039,no market need,201
Social Media,2015,Shanghai,Series A,2039,pivot gone bad,202
Social Media,2015,Shanghai,No Funding,634,no market need,203
Social Media,2015,Shanghai,No Funding,2124,no business model,204
Social Media,2015,Shanghai,No Funding,1088,no business model,205
Social Media,2014,Shanghai,No Funding,2245,no business model,206
Social Media,2010,Shanghai,No Funding,1270,pivot gone bad,207
Enterprise Service,2018,Shanghai,Series A,1582,get outcompeted,208
Enterprise Service,2018,Shanghai,Angel Round,1414,product mistimed,209
Enterprise Service,2018,Shanghai,Angel Round,1157,get outcompeted,210
Enterprise Service,2017,Shanghai,Angel Round,1735,ignore customers,211
Enterprise Service,2017,Shanghai,Pre-A Round,2131,get outcompeted,212
Enterprise Service,2017,Shanghai,Angel Round,2191,ignore customers,213
Enterprise Service,2017,Shanghai,No Funding,631,pivot gone bad,214
Enterprise Service,2017,Shanghai,No Funding,631,no business model,215
Enterprise Service,2017,Shanghai,Angel Round,678,no market need,216
Enterprise Service,2016,Shanghai,Series A,1887,get outcompeted,217
Enterprise Service,2016,Shanghai,Angel Round,1918,no investor interest,218
Enterprise Service,2016,Shanghai,No Funding,1857,no business model,219
Enterprise Service,2016,Shanghai,Angel Round,1887,no business model,220
Enterprise Service,2016,Shanghai,Series B,2071,no market need,221
Enterprise Service,2016,Shanghai,No Funding,1887,no business model,222
Enterprise Service,2016,Shanghai,No Funding,1221,no business model,223
Enterprise Service,2016,Shanghai,No Funding,1036,no business model,224
Enterprise Service,2016,Shanghai,No Funding,854,no business model,225
Enterprise Service,2016,Shanghai,No Funding,2975,lose focus,226
Enterprise Service,2015,Shanghai,No Funding,1089,pivot gone bad,227
Enterprise Service,2015,Shanghai,Series A,1831,get outcompeted,228
Enterprise Service,2014,Shanghai,No Funding,1160,no business model,229
Enterprise Service,2014,Shanghai,No Funding,1153,no business model,230
Enterprise Service,2014,Shanghai,No Funding,1113,pivot gone bad,231
Hardware,2018,Shanghai,Angel Round,1582,no investor interest,232
Hardware,2016,Shanghai,Angel Round,1281,no market need,233
Hardware,2014,Shanghai,Series A,1071,pricing/cost issue,234
