industry,broken_year,location,funded_status,survival_time,cause_of_failure,dataid
Education,2019,Shanghai,No Funding,8622,ran out of cash,77
Tool,2015,Zhejiang,No Funding,6204,no business model,312
Tool,2015,Shanghai,No Funding,5687,no business model,116
Social Media,2018,Shanghai,No Funding,5362,lose focus,190
Tool,2013,Shanghai,Public,4954,no business model,118
Marketing,2017,Beijing,No Funding,4931,no business model,691
Entertainment,2017,Beijing,No Funding,4931,no business model,712
Travel,2017,Shanghai,Acquired,4755,no investor interest,245
Education,2017,Beijing,Series B,4754,pivot gone bad,560
Finance,2018,Beijing,No Funding,4567,supervision,412
