broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2010,Social Media,Shanghai,No Funding,1270,pivot gone bad,1234
2010,Entertainment,Beijing,No Funding,1302,no business model,1233
2010,Game,Shanghai,Series B,907,no market need,1232
2010,Education,Zhejiang,Acquired,1221,pivot gone bad,1231
2010,Game,Overseas,Strategic,2343,no market need,1230
2010,Entertainment,Beijing,Series B,2251,not the right team,1229
2011,Education,Shanghai,Series B,1312,ran out of cash,1228
2011,Entertainment,Fujian,No Funding,692,no business model,1227
2011,Enterprise Service,Jiangsu,Strategic,784,no investor interest,1226
2011,Health,Guangdong,No Funding,1271,pivot gone bad,1225
