broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2015,E-Commerce,Heilongjiang,No Funding,736,no business model,1234
2016,E-Commerce,Guangxi,No Funding,974,no market need,1233
2016,E-Commerce,Guangxi,No Funding,943,no market need,1232
2017,E-Commerce,Yunnan,No Funding,1613,no investor interest,1231
2015,Education,Taiwan,Series A,976,poor marketing,1230
2017,E-Commerce,Taiwan,No Funding,1856,pivot gone bad,1229
2017,Enterprise Service,Taiwan,No Funding,2191,lose focus,1228
2017,Education,Taiwan,Angel Round,1825,no market need,1227
2017,Hardware,Taiwan,Angel Round,1674,no market need,1226
2016,Tool,Hong Kong,Series A,2191,no market need,1225
