broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2019,Finance,Shanghai,Series B,1730,supervision,1
2019,Education,Shanghai,No Funding,8622,ran out of cash,2
2019,Finance,Shanghai,Series A,1726,supervision,3
2019,Marketing,Shanghai,No Funding,1888,pivot gone bad,4
2019,Entertainment,Shanghai,No Funding,3768,ran out of cash,5
2019,Finance,Shanghai,No Funding,2644,supervision,6
2019,Finance,Shanghai,Series A,2034,supervision,7
2019,Finance,Shanghai,Strategic,1577,supervision,8
2019,Game,Shanghai,No Funding,589,no business model,9
2019,Health,Shanghai,Series B+,2133,no business model,10
2019,Local Business,Shanghai,Series A,1522,no market need,11
2019,Finance,Shanghai,No Funding,1247,no business model,12
2019,Finance,Shanghai,No Funding,1247,no business model,13
2019,E-Commerce,Shanghai,No Funding,1065,no business model,14
2019,Transportation,Shanghai,Angel Round,1553,get outcompeted,15
2019,Local Business,Shanghai,Angel Round,1581,no market need,16
2019,Transportation,Shanghai,Angel Round,1247,get outcompeted,17
2019,Real Estate,Shanghai,Series A,1461,burn out,18
2019,Game,Shanghai,Angel Round,608,no business model,19
2019,Finance,Shanghai,Angel Round,1612,supervision,20
2019,Social Media,Shanghai,No Funding,1247,no market need,21
2019,Finance,Shanghai,No Funding,1492,no business model,22
2019,E-Commerce,Shanghai,Angel Round,1612,no investor interest,23
2019,Transportation,Shanghai,Angel Round,1553,no business model,24
2019,E-Commerce,Shanghai,Acquired,3499,pivot gone bad,25
2019,E-Commerce,Shanghai,Series A,883,no business model,26
2019,Entertainment,Shanghai,Series B,1368,burn out,27
2019,Education,Shanghai,Pre-A Round,2052,no market need,28
2019,Entertainment,Shanghai,Angel Round,1943,no business model,29
2019,Education,Shanghai,Series B+,2336,product mistimed,30
2019,Real Estate,Shanghai,Series E,1705,burn out,31
2019,Agriculture,Shanghai,No Funding,1394,pivot gone bad,32
2019,Finance,Shanghai,Series B,1645,legal challenges,33
2018,Entertainment,Shanghai,Pre-A Round,1825,ran out of cash,34
2018,Transportation,Shanghai,Angel Round,1582,burn out,35
2018,Travel,Shanghai,Series A,1552,product mistimed,36
2018,Logistics,Shanghai,Series A,1613,no investor interest,37
2018,Finance,Shanghai,No Funding,1644,supervision,38
