broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2019,Finance,Shanghai,Series B,1730,supervision,1
2019,Finance,Zhejiang,Series A,2214,supervision,2
2019,Finance,Shanghai,Series A,1726,supervision,3
2019,Finance,Shanghai,No Funding,2644,supervision,4
2019,Finance,Shanghai,Series A,2034,supervision,5
2019,Finance,Shanghai,Strategic,1577,supervision,6
2019,Finance,Sichuan,Series A,1757,ran out of cash,7
2019,Finance,Beijing,No Funding,1443,supervision,8
2019,Finance,Beijing,Angel Round,516,supervision,9
2019,Finance,Hebei,No Funding,1400,supervision,10
2019,Finance,Beijing,Angel Round,1492,no market need,11
2019,Finance,Shanghai,No Funding,1247,no business model,12
2019,Finance,Shanghai,No Funding,1247,no business model,13
2019,Finance,Zhejiang,Angel Round,730,supervision,14
2019,Finance,Shanghai,Angel Round,1612,supervision,15
2019,Finance,Beijing,Angel Round,1612,no market need,16
2019,Finance,Beijing,Angel Round,1278,no business model,17
2019,Finance,Beijing,No Funding,1156,supervision,18
2019,Finance,Shanghai,No Funding,1492,no business model,19
2019,Finance,Zhejiang,No Funding,1431,no investor interest,20
2019,Finance,Beijing,Acquired,1553,supervision,21
2019,Finance,Zhejiang,Series B,1753,supervision,22
2019,Finance,Zhejiang,Series B,1927,legal challenges,23
2019,Finance,Zhejiang,Series B,1863,legal challenges,24
2019,Finance,Guangdong,Series D,2800,supervision,25
2019,Finance,Guangdong,Angel Round,3126,supervision,26
2019,Finance,Beijing,Series B,2791,ran out of cash,27
2019,Finance,Zhejiang,Series A+,1627,supervision,28
2019,Finance,Shanghai,Series B,1645,legal challenges,29
2018,Finance,Beijing,No Funding,1825,pivot gone bad,30
2018,Finance,Sichuan,Angel Round,1552,supervision,31
2018,Finance,Shanghai,No Funding,1644,supervision,32
2018,Finance,Zhejiang,No Funding,1825,supervision,33
2018,Finance,Shanghai,Angel Round,1825,ran out of cash,34
2018,Finance,Jiangsu,No Funding,1582,supervision,35
2018,Finance,Beijing,No Funding,1735,no business model,36
2018,Finance,Guangdong,No Funding,1582,ran out of cash,37
2018,Finance,Sichuan,Angel Round,1433,no business model,38
2018,Finance,Shanghai,Strategic,1351,supervision,39
2018,Finance,Beijing,Angel Round,1127,lose focus,40
2018,Finance,Beijing,Series B+,1571,ran out of cash,41
2018,Finance,Shanghai,Series B,1781,supervision,42
2018,Finance,Shanghai,Strategic,1781,supervision,43
2018,Finance,Shanghai,Series A,1478,supervision,44
2018,Finance,Beijing,Series C,1781,supervision,45
2018,Finance,Liaoning,Series A+,1569,supervision,46
2018,Finance,Shanghai,Strategic,1382,legal challenges,47
2018,Finance,Guangdong,Series B,1411,supervision,48
2018,Finance,Beijing,Series A,2111,supervision,49
2018,Finance,Zhejiang,Series A,1288,supervision,50
2018,Finance,Shanghai,Pre-A Round,1319,supervision,51
2018,Finance,Zhejiang,Series A,1318,supervision,52
2018,Finance,Shanghai,Series A,1897,supervision,53
2018,Finance,Zhejiang,Series A,800,supervision,54
2018,Finance,Zhejiang,Series A,1105,supervision,55
2018,Finance,Zhejiang,No Funding,1285,pivot gone bad,56
2018,Finance,Zhejiang,Angel Round,1104,supervision,57
2018,Finance,Shanghai,Angel Round,1497,no market need,58
2018,Finance,Shanghai,Series A+,1374,supervision,59
2018,Finance,Zhejiang,Series A,1067,supervision,60
2018,Finance,Beijing,No Funding,4567,supervision,61
2018,Finance,Guangdong,Series B,1280,ran out of cash,62
2018,Finance,Shanghai,Angel Round,1096,supervision,63
2018,Finance,Beijing,Angel Round,365,supervision,64
2017,Finance,Shanghai,Series B,1521,supervision,65
2017,Finance,Hunan,No Funding,1705,supervision,66
2017,Finance,Zhejiang,No Funding,1521,supervision,67
2017,Finance,Beijing,Angel Round,1552,product mistimed,68
2017,Finance,Guangdong,Series A,1886,founder,69
2017,Finance,Fujian,No Funding,2039,ran out of cash,70
2017,Finance,Guangdong,Angel Round,1825,no market need,71
2017,Finance,Sichuan,Angel Round,1613,supervision,72
2017,Finance,Shanghai,No Funding,1010,no business model,73
2017,Finance,Shanghai,Angel Round,631,founder,74
2017,Finance,Beijing,Seed Round,521,legal challenges,75
2017,Finance,Shanghai,Series B,787,supervision,76
2017,Finance,Beijing,Series A,1101,supervision,77
2017,Finance,Shanghai,Series A,370,supervision,78
2017,Finance,Beijing,Angel Round,740,no market need,79
2017,Finance,Beijing,No Funding,250,supervision,80
2016,Finance,Hunan,No Funding,1918,pivot gone bad,81
2016,Finance,Shanghai,No Funding,2191,pivot gone bad,82
2016,Finance,Beijing,No Funding,2191,supervision,83
2016,Finance,Beijing,No Funding,860,no market need,84
2016,Finance,Shandong,No Funding,1220,no business model,85
2016,Finance,Guangdong,No Funding,764,no business model,86
2016,Finance,Shanghai,No Funding,1005,supervision,87
2016,Finance,Beijing,No Funding,853,no business model,88
2016,Finance,Beijing,No Funding,943,supervision,89
2016,Finance,Shanghai,No Funding,3829,no business model,90
2016,Finance,Beijing,No Funding,1088,no business model,91
2016,Finance,Beijing,Series A,1130,no business model,92
2016,Finance,Shanghai,Series A,431,no business model,93
2016,Finance,Zhejiang,Series A,551,product mistimed,94
2016,Finance,Beijing,Series A,673,supervision,95
2016,Finance,Beijing,Angel Round,459,supervision,96
2016,Finance,Guangdong,Strategic,340,supervision,97
2015,Finance,Guangdong,Series A,2404,no business model,98
2015,Finance,Shanghai,Angel Round,2374,supervision,99
2015,Finance,Sichuan,Acquired,1917,supervision,100
2015,Finance,Guangdong,No Funding,1034,no business model,101
2015,Finance,Beijing,No Funding,848,no business model,102
2015,Finance,Beijing,No Funding,938,no business model,103
2015,Finance,Shanghai,No Funding,878,no business model,104
2015,Finance,Shanghai,No Funding,1547,no business model,105
2015,Finance,Beijing,Series B,1271,product mistimed,106
2015,Finance,Hunan,No Funding,724,supervision,107
2015,Finance,Beijing,No Funding,997,no business model,108
2015,Finance,Beijing,No Funding,876,supervision,109
2015,Finance,Beijing,No Funding,814,no business model,110
2015,Finance,Shanghai,Angel Round,1148,no business model,111
2014,Finance,Beijing,No Funding,2556,pivot gone bad,112
2014,Finance,Beijing,No Funding,1395,no business model,113
2019,Health,Guangdong,No Funding,1887,get outcompeted,114
2019,Health,Beijing,No Funding,1750,supervision,115
2019,Health,Beijing,Angel Round,229,no business model,116
2019,Health,Guangdong,No Funding,2454,no market need,117
