broken_year,industry,location,funded_status,survival_time,cause_of_failure,dataid
2019,Finance,Shanghai,Series B,1730,supervision,1
2019,Finance,Zhejiang,Series A,2214,supervision,2
2019,Health,Guangdong,No Funding,1887,get outcompeted,3
2019,E-Commerce,Fujian,No Funding,727,ran out of cash,4
2019,Health,Beijing,No Funding,1750,supervision,5
2019,Health,Beijing,Angel Round,229,no business model,6
2019,Education,Shanghai,No Funding,8622,ran out of cash,7
2019,Transportation,Hunan,No Funding,763,burn out,8
2019,Tool,Guangdong,Series A,914,no business model,9
2019,E-Commerce,Beijing,Acquired,4136,pivot gone bad,10
2019,Finance,Shanghai,Series A,1726,supervision,11
2019,Local Business,Guangdong,Series A+,1603,burn out,12
2019,Education,Beijing,No Funding,1602,no business model,13
2019,Real Estate,Jiangsu,No Funding,1193,ran out of cash,14
2019,Marketing,Shanghai,No Funding,1888,pivot gone bad,15
2019,E-Commerce,Beijing,Series C,3924,ran out of cash,16
2019,Entertainment,Shanghai,No Funding,3768,ran out of cash,17
2019,E-Commerce,Zhejiang,No Funding,556,ran out of cash,18
2019,Finance,Shanghai,No Funding,2644,supervision,19
2019,Finance,Shanghai,Series A,2034,supervision,20
2019,Finance,Shanghai,Strategic,1577,supervision,21
2019,Finance,Sichuan,Series A,1757,ran out of cash,22
2019,Health,Guangdong,No Funding,2454,no market need,23
2019,Game,Shanghai,No Funding,589,no business model,24
2019,Finance,Beijing,No Funding,1443,supervision,25
2019,Transportation,Beijing,Angel Round,1381,burn out,26
2019,Health,Shanghai,Series B+,2133,no business model,27
2019,E-Commerce,Beijing,Seed Round,1461,no market need,28
2019,Local Business,Zhejiang,Seed Round,1126,no business model,29
2019,Local Business,Shanghai,Series A,1522,no market need,30
2019,Social Media,Beijing,Angel Round,1522,ran out of cash,31
2019,Health,Beijing,No Funding,1612,pivot gone bad,32
2019,Finance,Beijing,Angel Round,516,supervision,33
2019,Enterprise Service,Beijing,Angel Round,1400,product mistimed,34
2019,Finance,Hebei,No Funding,1400,supervision,35
2019,Hardware,Beijing,No Funding,1612,no market need,36
2019,Finance,Beijing,Angel Round,1492,no market need,37
2019,Local Business,Beijing,Angel Round,1278,ran out of cash,38
2019,Transportation,Beijing,Acquired,1553,get outcompeted,39
2019,Entertainment,Zhejiang,Angel Round,1431,no business model,40
2019,Social Media,Jiangsu,Angel Round,1431,no market need,41
2019,Local Business,Beijing,Series A,822,poor product,42
2019,E-Commerce,Zhejiang,Seed Round,638,no market need,43
2019,E-Commerce,Beijing,Series A,1581,burn out,44
2019,Finance,Shanghai,No Funding,1247,no business model,45
2019,Entertainment,Beijing,No Funding,2252,no business model,46
2019,Finance,Shanghai,No Funding,1247,no business model,47
2019,E-Commerce,Guangdong,Series A,1461,no market need,48
2019,E-Commerce,Shanghai,No Funding,1065,no business model,49
2019,E-Commerce,Beijing,Angel Round,1492,no business model,50
2019,Education,Beijing,Angel Round,1431,no business model,51
2019,Transportation,Zhejiang,Series A,1431,pricing/cost issue,52
2019,Real Estate,Hubei,Angel Round,1612,get outcompeted,53
2019,Tool,Beijing,Angel Round,1216,no market need,54
2019,Enterprise Service,Jiangsu,No Funding,1400,get outcompeted,55
2019,Transportation,Shanghai,Angel Round,1553,get outcompeted,56
2019,E-Commerce,Beijing,Angel Round,1339,pricing/cost issue,57
2019,Enterprise Service,Shaanxi,Angel Round,1581,no investor interest,58
2019,Sports,Beijing,No Funding,1247,pricing/cost issue,59
2019,Social Media,Beijing,No Funding,1461,no market need,60
2019,Health,Beijing,Angel Round,1612,no business model,61
2019,Social Media,Beijing,Angel Round,1522,no market need,62
2019,E-Commerce,Beijing,Series A,1522,product mistimed,63
2019,Entertainment,Zhejiang,Angel Round,881,lose focus,64
2019,Local Business,Fujian,Angel Round,1461,no market need,65
2019,Local Business,Shanghai,Angel Round,1581,no market need,66
2019,Transportation,Shanghai,Angel Round,1247,get outcompeted,67
2019,Enterprise Service,Henan,No Funding,547,pivot gone bad,68
2019,Real Estate,Guangdong,Series A,1553,supervision,69
2019,Enterprise Service,Zhejiang,Angel Round,1369,product mistimed,70
2019,Entertainment,Beijing,Angel Round,1612,no market need,71
2019,E-Commerce,Beijing,Angel Round,1461,no market need,72
2019,Social Media,Zhejiang,Angel Round,1431,no business model,73
2019,Tool,Zhejiang,Pre-A Round,1492,no business model,74
2019,Finance,Zhejiang,Angel Round,730,supervision,75
2019,Local Business,Beijing,Seed Round,1216,no investor interest,76
2019,Health,Beijing,Angel Round,1431,no investor interest,77
2019,E-Commerce,Sichuan,Series A+,1612,no market need,78
2019,Real Estate,Shanghai,Series A,1461,burn out,79
2019,Tool,Guangdong,Angel Round,1369,no market need,80
2019,Transportation,Beijing,Angel Round,1612,burn out,81
2019,Tool,Hubei,Angel Round,1492,no market need,82
2019,E-Commerce,Beijing,No Funding,1339,no market need,83
2019,E-Commerce,Beijing,Angel Round,1126,no market need,84
2019,E-Commerce,Beijing,No Funding,1339,no investor interest,85
2019,Health,Guangdong,No Funding,1156,no business model,86
2019,Game,Shanghai,Angel Round,608,no business model,87
2019,Finance,Shanghai,Angel Round,1612,supervision,88
2019,Transportation,Zhejiang,Series B,1065,burn out,89
2019,Enterprise Service,Guangdong,Angel Round,1461,no market need,90
2019,E-Commerce,Beijing,Angel Round,1553,get outcompeted,91
2019,E-Commerce,Hubei,No Funding,1278,no business model,92
2019,Social Media,Beijing,Angel Round,1369,no business model,93
2019,Finance,Beijing,Angel Round,1612,no market need,94
2019,Finance,Beijing,Angel Round,1278,no business model,95
2019,Local Business,Beijing,Angel Round,912,get outcompeted,96
2019,Enterprise Service,Zhejiang,Angel Round,1187,product mistimed,97
2019,Health,Beijing,Acquired,1612,no business model,98
2019,Health,Beijing,Acquired,1612,no business model,99
2019,Tool,Beijing,No Funding,1278,no market need,100
2019,Enterprise Service,Anhui,No Funding,1522,no investor interest,101
2019,Social Media,Shanghai,No Funding,1247,no market need,102
2019,Local Business,Sichuan,No Funding,1369,no market need,103
2019,Travel,Chongqing,Angel Round,1431,no market need,104
2019,Enterprise Service,Sichuan,Angel Round,1461,no business model,105
2019,Local Business,Zhejiang,Seed Round,912,no market need,106
2019,Social Media,Beijing,Angel Round,1581,no market need,107
2019,Logistics,Beijing,No Funding,1553,get outcompeted,108
2019,Health,Beijing,No Funding,1400,pricing/cost issue,109
