industry,broken_year,location,funded_status,survival_time,cause_of_failure,dataid
Finance,2019,Shanghai,Series B,1730,supervision,1
Finance,2019,Zhejiang,Series A,2214,supervision,2
Finance,2019,Shanghai,Series A,1726,supervision,3
Finance,2019,Shanghai,No Funding,2644,supervision,4
Finance,2019,Shanghai,Series A,2034,supervision,5
Finance,2019,Shanghai,Strategic,1577,supervision,6
Finance,2019,Sichuan,Series A,1757,ran out of cash,7
Finance,2019,Beijing,No Funding,1443,supervision,8
Finance,2019,Beijing,Angel Round,516,supervision,9
Finance,2019,Hebei,No Funding,1400,supervision,10
Finance,2019,Beijing,Angel Round,1492,no market need,11
Finance,2019,Shanghai,No Funding,1247,no business model,12
Finance,2019,Shanghai,No Funding,1247,no business model,13
Finance,2019,Zhejiang,Angel Round,730,supervision,14
Finance,2019,Shanghai,Angel Round,1612,supervision,15
Finance,2019,Beijing,Angel Round,1612,no market need,16
Finance,2019,Beijing,Angel Round,1278,no business model,17
Finance,2019,Beijing,No Funding,1156,supervision,18
Finance,2019,Shanghai,No Funding,1492,no business model,19
Finance,2019,Zhejiang,No Funding,1431,no investor interest,20
Finance,2019,Beijing,Acquired,1553,supervision,21
Finance,2019,Zhejiang,Series B,1753,supervision,22
Finance,2019,Zhejiang,Series B,1927,legal challenges,23
Finance,2019,Zhejiang,Series B,1863,legal challenges,24
Finance,2019,Guangdong,Series D,2800,supervision,25
Finance,2019,Guangdong,Angel Round,3126,supervision,26
Finance,2019,Beijing,Series B,2791,ran out of cash,27
Finance,2019,Zhejiang,Series A+,1627,supervision,28
Finance,2019,Shanghai,Series B,1645,legal challenges,29
Finance,2018,Beijing,No Funding,1825,pivot gone bad,30
Finance,2018,Sichuan,Angel Round,1552,supervision,31
Finance,2018,Shanghai,No Funding,1644,supervision,32
Finance,2018,Zhejiang,No Funding,1825,supervision,33
Finance,2018,Shanghai,Angel Round,1825,ran out of cash,34
Finance,2018,Jiangsu,No Funding,1582,supervision,35
Finance,2018,Beijing,No Funding,1735,no business model,36
Finance,2018,Guangdong,No Funding,1582,ran out of cash,37
Finance,2018,Sichuan,Angel Round,1433,no business model,38
Finance,2018,Shanghai,Strategic,1351,supervision,39
Finance,2018,Beijing,Angel Round,1127,lose focus,40
Finance,2018,Beijing,Series B+,1571,ran out of cash,41
Finance,2018,Shanghai,Series B,1781,supervision,42
Finance,2018,Shanghai,Strategic,1781,supervision,43
Finance,2018,Shanghai,Series A,1478,supervision,44
Finance,2018,Beijing,Series C,1781,supervision,45
Finance,2018,Liaoning,Series A+,1569,supervision,46
Finance,2018,Shanghai,Strategic,1382,legal challenges,47
Finance,2018,Guangdong,Series B,1411,supervision,48
Finance,2018,Beijing,Series A,2111,supervision,49
Finance,2018,Zhejiang,Series A,1288,supervision,50
Finance,2018,Shanghai,Pre-A Round,1319,supervision,51
Finance,2018,Zhejiang,Series A,1318,supervision,52
Finance,2018,Shanghai,Series A,1897,supervision,53
Finance,2018,Zhejiang,Series A,800,supervision,54
Finance,2018,Zhejiang,Series A,1105,supervision,55
Finance,2018,Zhejiang,No Funding,1285,pivot gone bad,56
Finance,2018,Zhejiang,Angel Round,1104,supervision,57
Finance,2018,Shanghai,Angel Round,1497,no market need,58
Finance,2018,Shanghai,Series A+,1374,supervision,59
Finance,2018,Zhejiang,Series A,1067,supervision,60
Finance,2018,Beijing,No Funding,4567,supervision,61
Finance,2018,Guangdong,Series B,1280,ran out of cash,62
Finance,2018,Shanghai,Angel Round,1096,supervision,63
Finance,2018,Beijing,Angel Round,365,supervision,64
Finance,2017,Shanghai,Series B,1521,supervision,65
Finance,2017,Hunan,No Funding,1705,supervision,66
Finance,2017,Zhejiang,No Funding,1521,supervision,67
Finance,2017,Beijing,Angel Round,1552,product mistimed,68
Finance,2017,Guangdong,Series A,1886,founder,69
Finance,2017,Fujian,No Funding,2039,ran out of cash,70
Finance,2017,Guangdong,Angel Round,1825,no market need,71
Finance,2017,Sichuan,Angel Round,1613,supervision,72
Finance,2017,Shanghai,No Funding,1010,no business model,73
Finance,2017,Shanghai,Angel Round,631,founder,74
Finance,2017,Beijing,Seed Round,521,legal challenges,75
Finance,2017,Shanghai,Series B,787,supervision,76
Finance,2017,Beijing,Series A,1101,supervision,77
Finance,2017,Shanghai,Series A,370,supervision,78
Finance,2017,Beijing,Angel Round,740,no market need,79
Finance,2017,Beijing,No Funding,250,supervision,80
Finance,2016,Hunan,No Funding,1918,pivot gone bad,81
Finance,2016,Shanghai,No Funding,2191,pivot gone bad,82
Finance,2016,Beijing,No Funding,2191,supervision,83
Finance,2016,Beijing,No Funding,860,no market need,84
Finance,2016,Shandong,No Funding,1220,no business model,85
Finance,2016,Guangdong,No Funding,764,no business model,86
Finance,2016,Shanghai,No Funding,1005,supervision,87
Finance,2016,Beijing,No Funding,853,no business model,88
Finance,2016,Beijing,No Funding,943,supervision,89
Finance,2016,Shanghai,No Funding,3829,no business model,90
Finance,2016,Beijing,No Funding,1088,no business model,91
Finance,2016,Beijing,Series A,1130,no business model,92
Finance,2016,Shanghai,Series A,431,no business model,93
Finance,2016,Zhejiang,Series A,551,product mistimed,94
Finance,2016,Beijing,Series A,673,supervision,95
Finance,2016,Beijing,Angel Round,459,supervision,96
Finance,2016,Guangdong,Strategic,340,supervision,97
Finance,2015,Guangdong,Series A,2404,no business model,98
Finance,2015,Shanghai,Angel Round,2374,supervision,99
Finance,2015,Sichuan,Acquired,1917,supervision,100
Finance,2015,Guangdong,No Funding,1034,no business model,101
Finance,2015,Beijing,No Funding,848,no business model,102
Finance,2015,Beijing,No Funding,938,no business model,103
Finance,2015,Shanghai,No Funding,878,no business model,104
Finance,2015,Shanghai,No Funding,1547,no business model,105
Finance,2015,Beijing,Series B,1271,product mistimed,106
Finance,2015,Hunan,No Funding,724,supervision,107
Finance,2015,Beijing,No Funding,997,no business model,108
Finance,2015,Beijing,No Funding,876,supervision,109
Finance,2015,Beijing,No Funding,814,no business model,110
Finance,2015,Shanghai,Angel Round,1148,no business model,111
Finance,2014,Beijing,No Funding,2556,pivot gone bad,112
Finance,2014,Beijing,No Funding,1395,no business model,113
Health,2019,Guangdong,No Funding,1887,get outcompeted,114
Health,2019,Beijing,No Funding,1750,supervision,115
Health,2019,Beijing,Angel Round,229,no business model,116
Health,2019,Guangdong,No Funding,2454,no market need,117
Health,2019,Shanghai,Series B+,2133,no business model,118
Health,2019,Beijing,No Funding,1612,pivot gone bad,119
Health,2019,Beijing,Angel Round,1612,no business model,120
Health,2019,Beijing,Angel Round,1431,no investor interest,121
Health,2019,Guangdong,No Funding,1156,no business model,122
Health,2019,Beijing,Acquired,1612,no business model,123
Health,2019,Beijing,Acquired,1612,no business model,124
Health,2019,Beijing,No Funding,1400,pricing/cost issue,125
Health,2019,Beijing,Angel Round,1417,no business model,126
Health,2018,Beijing,No Funding,1613,lose focus,127
Health,2018,Zhejiang,Series A,1491,burn out,128
Health,2018,Guangdong,No Funding,1552,no business model,129
Health,2018,Beijing,Series A,1552,burn out,130
Health,2018,Tianjin,Angel Round,1674,no business model,131
Health,2018,Shanghai,Angel Round,1825,no business model,132
Health,2018,Zhejiang,Seed Round,872,no business model,133
Health,2018,Shanghai,Angel Round,1316,no business model,134
Health,2018,Beijing,Strategic,2052,ran out of cash,135
Health,2018,Beijing,No Funding,155,no business model,136
Health,2017,Beijing,Angel Round,1644,lose focus,137
Health,2017,Fujian,Angel Round,1521,pivot gone bad,138
Health,2017,Beijing,No Funding,1766,no business model,139
Health,2017,Beijing,Angel Round,1886,ran out of cash,140
Health,2017,Guangdong,No Funding,1825,no business model,141
Health,2017,Beijing,Angel Round,2160,no business model,142
Health,2017,Chongqing,No Funding,2191,no business model,143
Health,2017,Beijing,No Funding,1886,no business model,144
Health,2017,Shanghai,Angel Round,1917,lose focus,145
Health,2017,Beijing,Angel Round,792,no business model,146
Health,2017,Beijing,Angel Round,975,no market need,147
Health,2017,Beijing,No Funding,3500,no business model,148
Health,2017,Beijing,Series A,635,get outcompeted,149
Health,2017,Shanghai,No Funding,740,no business model,150
Health,2017,Shanghai,Angel Round,1101,poor marketing,151
Health,2016,Hubei,No Funding,769,no business model,152
Health,2016,Beijing,No Funding,769,no business model,153
Health,2016,Beijing,No Funding,798,no business model,154
Health,2016,Jiangsu,Angel Round,1030,get outcompeted,155
Health,2016,Beijing,No Funding,1302,no business model,156
Health,2016,Beijing,No Funding,1301,no business model,157
Health,2016,Beijing,Angel Round,905,pricing/cost issue,158
Health,2016,Shanghai,Series A,857,no market need,159
Health,2016,Beijing,Angel Round,1191,no business model,160
Health,2016,Shanghai,No Funding,182,no business model,161
Health,2015,Beijing,No Funding,1856,no business model,162
Health,2015,Shanghai,No Funding,1188,no business model,163
Health,2015,Beijing,No Funding,814,no business model,164
