location,broken_year,industry,funded_status,survival_time,cause_of_failure,dataid
Shanghai,2019,Finance,Series B,1730,supervision,1
Shanghai,2019,Education,No Funding,8622,ran out of cash,2
Shanghai,2019,Finance,Series A,1726,supervision,3
Shanghai,2019,Marketing,No Funding,1888,pivot gone bad,4
Shanghai,2019,Entertainment,No Funding,3768,ran out of cash,5
Shanghai,2019,Finance,No Funding,2644,supervision,6
Shanghai,2019,Finance,Series A,2034,supervision,7
Shanghai,2019,Finance,Strategic,1577,supervision,8
Shanghai,2019,Game,No Funding,589,no business model,9
Shanghai,2019,Health,Series B+,2133,no business model,10
Shanghai,2019,Local Business,Series A,1522,no market need,11
Shanghai,2019,Finance,No Funding,1247,no business model,12
Shanghai,2019,Finance,No Funding,1247,no business model,13
Shanghai,2019,E-Commerce,No Funding,1065,no business model,14
Shanghai,2019,Transportation,Angel Round,1553,get outcompeted,15
Shanghai,2019,Local Business,Angel Round,1581,no market need,16
Shanghai,2019,Transportation,Angel Round,1247,get outcompeted,17
Shanghai,2019,Real Estate,Series A,1461,burn out,18
Shanghai,2019,Game,Angel Round,608,no business model,19
Shanghai,2019,Finance,Angel Round,1612,supervision,20
Shanghai,2019,Social Media,No Funding,1247,no market need,21
Shanghai,2019,Finance,No Funding,1492,no business model,22
Shanghai,2019,E-Commerce,Angel Round,1612,no investor interest,23
Shanghai,2019,Transportation,Angel Round,1553,no business model,24
Shanghai,2019,E-Commerce,Acquired,3499,pivot gone bad,25
Shanghai,2019,E-Commerce,Series A,883,no business model,26
Shanghai,2019,Entertainment,Series B,1368,burn out,27
Shanghai,2019,Education,Pre-A Round,2052,no market need,28
Shanghai,2019,Entertainment,Angel Round,1943,no business model,29
Shanghai,2019,Education,Series B+,2336,product mistimed,30
Shanghai,2019,Real Estate,Series E,1705,burn out,31
Shanghai,2019,Agriculture,No Funding,1394,pivot gone bad,32
Shanghai,2019,Finance,Series B,1645,legal challenges,33
Shanghai,2018,Entertainment,Pre-A Round,1825,ran out of cash,34
Shanghai,2018,Transportation,Angel Round,1582,burn out,35
Shanghai,2018,Travel,Series A,1552,product mistimed,36
Shanghai,2018,Logistics,Series A,1613,no investor interest,37
Shanghai,2018,Finance,No Funding,1644,supervision,38
Shanghai,2018,Logistics,No Funding,1613,no business model,39
Shanghai,2018,Social Media,No Funding,1491,no market need,40
Shanghai,2018,Local Business,Angel Round,1674,no market need,41
Shanghai,2018,Local Business,Angel Round,1521,product mistimed,42
Shanghai,2018,Game,Angel Round,1674,ran out of cash,43
Shanghai,2018,Education,Series C,1491,ran out of cash,44
Shanghai,2018,Social Media,Angel Round,1794,no business model,45
Shanghai,2018,E-Commerce,No Funding,1521,no business model,46
Shanghai,2018,Enterprise Service,Series A,1582,get outcompeted,47
Shanghai,2018,Game,Angel Round,1491,ran out of cash,48
Shanghai,2018,Tool,Angel Round,1674,no market need,49
Shanghai,2018,Finance,Angel Round,1825,ran out of cash,50
Shanghai,2018,Sports,Angel Round,1644,poor marketing,51
Shanghai,2018,Real Estate,Angel Round,1491,product mistimed,52
Shanghai,2018,Hardware,Angel Round,1582,no investor interest,53
Shanghai,2018,Social Media,Series B,1644,no market need,54
Shanghai,2018,Tool,Angel Round,1521,legal challenges,55
Shanghai,2018,Local Business,Series C,1491,no market need,56
Shanghai,2018,Health,Angel Round,1825,no business model,57
Shanghai,2018,Real Estate,Series B,1766,ran out of cash,58
Shanghai,2018,Real Estate,Angel Round,1943,burn out,59
Shanghai,2018,Entertainment,Series A,1121,burn out,60
Shanghai,2018,Health,Angel Round,1316,no business model,61
Shanghai,2018,Travel,Acquired,2374,product mistimed,62
Shanghai,2018,Education,Series A,1516,ran out of cash,63
Shanghai,2018,Education,Series A,1135,burn out,64
Shanghai,2018,Enterprise Service,Angel Round,1414,product mistimed,65
Shanghai,2018,Finance,Strategic,1351,supervision,66
Shanghai,2018,Finance,Series B,1781,supervision,67
Shanghai,2018,Finance,Strategic,1781,supervision,68
Shanghai,2018,Finance,Series A,1478,supervision,69
Shanghai,2018,Finance,Strategic,1382,legal challenges,70
Shanghai,2018,Finance,Pre-A Round,1319,supervision,71
Shanghai,2018,Finance,Series A,1897,supervision,72
Shanghai,2018,Finance,Angel Round,1497,no market need,73
Shanghai,2018,Finance,Series A+,1374,supervision,74
Shanghai,2018,Social Media,No Funding,5362,lose focus,75
Shanghai,2018,Enterprise Service,Angel Round,1157,get outcompeted,76
Shanghai,2018,Finance,Angel Round,1096,supervision,77
Shanghai,2017,Travel,Series A+,1886,get outcompeted,78
Shanghai,2017,Finance,Series B,1521,supervision,79
Shanghai,2017,E-Commerce,Acquired,1978,pricing/cost issue,80
Shanghai,2017,Entertainment,No Funding,2252,no business model,81
Shanghai,2017,E-Commerce,Angel Round,1825,no market need,82
Shanghai,2017,E-Commerce,No Funding,1947,no business model,83
Shanghai,2017,Social Media,No Funding,1917,no market need,84
Shanghai,2017,Real Estate,Angel Round,1917,no market need,85
Shanghai,2017,Travel,No Funding,1825,no business model,86
Shanghai,2017,Game,Angel Round,1947,burn out,87
Shanghai,2017,Local Business,No Funding,1825,lose focus,88
Shanghai,2017,E-Commerce,Angel Round,1735,no business model,89
Shanghai,2017,E-Commerce,No Funding,1340,no business model,90
Shanghai,2017,Sports,Angel Round,2191,legal challenges,91
Shanghai,2017,Transportation,Series B,1552,pricing/cost issue,92
